,ingredients,Milk,lactose intolerace,Tree Nut,Peanut,Egg,Wheat,Fish ,Soy,allergens
0,elachi,,,,,,,,,[]
1,vegetable oil,,,,,,,,,[]
2,ghee,,,,,,,,,[]
3,jaggery,,,,,,,,,[]
4,Rice flour,,,,,,,,,[]
5,curry leaves,,,,,,,,,[]
6,turmeric,,,,,,,,,[]
7,garam masala,,,,,,,,,[]
8,potato,,,,,,,,,[]
9,Cauliflower,,,,,,,,,[]
10,garlic,,,,,,,,,[]
11,ginger,,,,,,,,,[]
12,chillies,,,,,,,,,[]
13,peas,,,,,,,,,[]
14,oil,,,,,,,,,[]
15,salt,,,,,,,,,[]
16,fenugreek leaves,,,,,,,,,[]
17,amchur powder,,,,,,,,,[]
18,shimla mirch,,,,,,,,,[]
19,bread crumbs,,,,,,,,,[]
20,green chillies,,,,,,,,,[]
21,fish,,,,,,,,,[]
22,mustard oil,,,,,,,,,[]
23,Potatoes,,,,,,,,,[]
24,hot water,,,,,,,,,[]
25,mustard seeds,,,,,,,,,[]
26,arhar dal,,,,,,,,,[]
27,Kala masala,,,,,,,,,[]
28,khus-khus seeds,,,,,,,,,[]
29,green chilli,,,,,,,,,[]
30,kala jeera,,,,,,,,,[]
31,Whole wheat flour,,,,,,y,,,['wheat']
32,urad dal,,,,,,,,,[]
33,tindora,,,,,,,,,[]
34,long beans,,,,,,,,,[]
35,elephant foot yam,,,,,,,,,[]
36,Raw banana,,,,,,,,,[]
37,pearl millet flour,,,,,,,,,[]
38,Wheat flour,,,,,,y,,,['wheat']
39,sugar,,,,,,,,,[]
40,yogurt,,y,,,,,,,['lactose']
41,Maida flour,,,,,,y,,,['wheat']
42,jaggery syrup,,,,,,,,,[]
43,cashews and raisins,,,y,,,,,,['tree nut']
44,cardamom powder,,,,,,,,,[]
45,Besan,,,,,,,,,[]
46,nuts,,,,,,,,,['tree nut']
47,milk,y,y,,,,,,,"['milk', 'lactose']"
48,all purpose flour,,,,,,y,,,['wheat']
49,clarified butter,,,,,,,,,[]
50,egg yolks,,,,,y,,,,['egg']
51,Coconut milk,,,,,,,,,[]
52,chili powder,,,,,,,,,[]
53,green chilies,,,,,,,,,[]
54,coconut,,,,,,,,,[]
55,Beef,,,,,,,,,[]
56,coriander,,,,,,,,,[]
57,sesame seeds,,,,,,,,,[]
58,onions,,,,,,,,,[]
59,Brinjal,,,,,,,,,[]
60,Jowar flour,,,,,,,,,[]
61,baking soda,,,,,,,,,[]
62,plain flour,,,,,,y,,,['wheat']
63,rava,,,,,,,,,[]
64,Chole,,,,,,,,,[]
65,tomatoes,,,,,,,,,[]
66,kasuri methi,,,,,,,,,[]
67,Ladies finger,,,,,,y,,,['wheat']
68,bay leaf,,,,,,,,,[]
69,sweet,,,,,,,,,[]
70,star anise,,,,,,,,,[]
71,basmati rice,,,,,,,,,[]
72,Chicken thighs,,,,,,,,,[]
73,french beans,,,,,,,,,[]
74,green peas,,,,,,,,,[]
75,chana dal,,,,,,,,,[]
76,Split pigeon peas,,,,,,,,,[]
77,garlic powder,,,,,,,,,[]
78,slivered almonds,,,y,,,,,,['tree nut']
79,olive oil,,,,,,,,,[]
80,chicken,,,,,,,,,[]
81,Forbidden black rice,,,,,,,,,[]
82,bombay rava,,,,,,,,,[]
83,malvani masala,,,,,,,,,[]
84,Bombay duck,,,,,,,,,[]
85,Gram flour,,,,,,,,,[]
86,whole red,,,,,,,,,[]
87,yellow moong daal,,,,,,,,,[]
88,mixed vegetables,,,,,,,,,[]
89,Biryani masala,,,,,,,,,[]
90,soy sauce,,,,,,,,y,['soy']
91,Brown rice,,,,,,,,,[]
