"name";"ingredients"
"Adhirasam";"elachi"
"Adhirasam";"vegetable oil"
"Adhirasam";"ghee"
"Adhirasam";"jaggery"
"Adhirasam";"Rice flour"
"Aloo gobi";"curry leaves"
"Aloo gobi";"turmeric"
"Aloo gobi";"garam masala"
"Aloo gobi";"potato"
"Aloo gobi";"Cauliflower"
"Aloo matar";"garlic"
"Aloo matar";"garam masala"
"Aloo matar";"ginger"
"Aloo matar";"chillies"
"Aloo matar";"peas"
"Aloo matar";"Potato"
"Aloo methi";"oil"
"Aloo methi";"salt"
"Aloo methi";"chillies"
"Aloo methi";"fenugreek leaves"
"Aloo methi";"Potato"
"Aloo shimla mirch";"salt"
"Aloo shimla mirch";"amchur powder"
"Aloo shimla mirch";"garam masala"
"Aloo shimla mirch";"shimla mirch"
"Aloo shimla mirch";"Potato"
"Aloo tikki";"salt"
"Aloo tikki";"garam masala"
"Aloo tikki";"bread crumbs"
"Aloo tikki";"potato"
"Aloo tikki";"Rice flour"
"Alu Pitika";"green chillies"
"Alu Pitika";"fish"
"Alu Pitika";"mustard oil"
"Alu Pitika";"Potatoes"
"Amti";"hot water"
"Amti";"mustard seeds"
"Amti";"curry leaves"
"Amti";"arhar dal"
"Amti";"Kala masala"
"Anarsa";"khus-khus seeds"
"Anarsa";"jaggery"
"Anarsa";"Rice flour"
"Ariselu";"ghee"
"Ariselu";"jaggery"
"Ariselu";"Rice flour"
"Attu";"green chilli"
"Attu";"kala jeera"
"Attu";"ginger"
"Attu";"arhar dal"
"Attu";"Whole wheat flour"
"Avial";"urad dal"
"Avial";"tindora"
"Avial";"long beans"
"Avial";"elephant foot yam"
"Avial";"Raw banana"
"Bajri no rotlo";"hot water"
"Bajri no rotlo";"pearl millet flour"
"Bajri no rotlo";"Wheat flour"
"Balu shahi";"sugar"
"Balu shahi";"oil"
"Balu shahi";"yogurt"
"Balu shahi";"Maida flour"
"Bandar laddu";"sugar"
"Bandar laddu";"jaggery syrup"
"Bandar laddu";"cashews and raisins"
"Bandar laddu";"ghee"
"Bandar laddu";"cardamom powder"
"Bandar laddu";"jaggery"
"Bandar laddu";"Besan"
"Basundi";"nuts"
"Basundi";"milk"
"Basundi";"Sugar"
"Bebinca";"all purpose flour"
"Bebinca";"clarified butter"
"Bebinca";"egg yolks"
"Bebinca";"Coconut milk"
"Beef Fry";"chili powder"
"Beef Fry";"green chilies"
"Beef Fry";"curry leaves"
"Beef Fry";"garam masala"
"Beef Fry";"coconut"
"Beef Fry";"Beef"
"Bengena Pitika";"coriander"
"Bengena Pitika";"sesame seeds"
"Bengena Pitika";"salt"
"Bengena Pitika";"onions"
"Bengena Pitika";"Brinjal"
"Bhakri";"sesame seeds"
"Bhakri";"Jowar flour"
"Bhatura";"baking soda"
"Bhatura";"plain flour"
"Bhatura";"yogurt"
"Bhatura";"rava"
"Bhatura";"Chole"
"Bhindi masala";"chili powder"
"Bhindi masala";"tomatoes"
"Bhindi masala";"kasuri methi"
"Bhindi masala";"garam masala"
